City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
147,Sterlitamak,RU,2021-07-29 01:29:58,53.6246,55.9502,50.18,65,6,4.27
148,Marawi,PH,2021-07-29 01:29:58,7.9986,124.2928,83.64,53,100,4.34
149,Lorengau,PG,2021-07-29 01:29:59,-2.0226,147.2712,84.72,72,91,6.58
150,New Norfolk,AU,2021-07-29 01:27:38,-42.7826,147.0587,51.93,53,97,8.5
151,Ewa Beach,US,2021-07-29 01:29:03,21.3156,-158.0072,84.15,64,1,8.05
152,Zhigansk,RU,2021-07-29 01:29:59,66.7697,123.3711,63.82,48,84,6.91
153,Andros Town,BS,2021-07-29 01:29:59,24.7,-77.7667,82.36,71,90,9.75
154,Lourdes,FR,2021-07-29 01:27:40,43.1,-0.05,65.95,94,90,1.14
155,Chapais,CA,2021-07-29 01:30:00,49.7834,-74.8492,56.98,56,100,5.03
156,Canon City,US,2021-07-29 01:30:00,38.441,-105.2424,96.15,24,1,3.0
157,Lagoa,PT,2021-07-29 01:30:01,39.05,-27.9833,69.49,89,63,6.51
158,Muskegon,US,2021-07-29 01:30:01,43.3,-86.1334,81.25,84,90,6.91
159,Dingle,PH,2021-07-29 01:30:01,10.9995,122.6711,88.09,64,40,16.26
160,Bethel,US,2021-07-29 01:27:10,41.3712,-73.414,71.96,78,1,3.44
161,Baruun-Urt,MN,2021-07-29 01:30:05,46.6806,113.2792,76.98,46,31,2.64
162,Salalah,OM,2021-07-29 01:30:05,17.0151,54.0924,78.89,89,90,11.5
163,Tambovka,RU,2021-07-29 01:30:05,50.0969,128.0489,77.11,60,100,8.12
164,Yellowknife,CA,2021-07-29 01:28:02,62.456,-114.3525,67.28,67,75,1.01
165,Zaysan,KZ,2021-07-29 01:30:06,47.4667,84.8667,68.56,28,12,4.59
166,Nayagarh,IN,2021-07-29 01:30:06,20.1333,85.1,76.05,87,100,8.41
167,Beaverlodge,CA,2021-07-29 01:30:08,55.2166,-119.4361,78.15,34,54,7.38
168,Broken Hill,AU,2021-07-29 01:30:08,-31.95,141.4333,53.31,43,0,9.22
169,Raton,US,2021-07-29 01:30:09,36.9034,-104.4391,84.54,32,1,10.36
170,Ahipara,NZ,2021-07-29 01:30:09,-35.1667,173.1667,62.04,70,43,8.39
171,Tura,IN,2021-07-29 01:28:03,25.5198,90.2201,74.03,95,100,7.05
172,Yeppoon,AU,2021-07-29 01:30:10,-23.1333,150.7333,71.38,55,17,4.12
173,Umm Kaddadah,SD,2021-07-29 01:26:58,13.6017,26.6876,81.72,54,100,3.96
174,Vila Velha,BR,2021-07-29 01:26:32,-20.3297,-40.2925,71.55,83,20,8.05
175,San Cristobal,VE,2021-07-29 01:26:02,7.7669,-72.225,73.58,98,100,4.76
176,Alcantara,BR,2021-07-29 01:30:10,-2.4089,-44.4147,80.8,90,39,7.58
177,Ifakara,TZ,2021-07-29 01:30:11,-8.1333,36.6833,61.21,66,0,1.54
178,Tilichiki,RU,2021-07-29 01:30:11,60.4667,166.1,59.76,44,49,12.55
179,Las Palmas,ES,2021-07-29 01:30:11,28.4204,-14.0131,68.79,78,49,16.11
180,Rupert,US,2021-07-29 01:30:11,42.6191,-113.6772,89.49,39,1,6.91
181,Marataizes,BR,2021-07-29 01:29:17,-21.0433,-40.8244,69.3,84,100,13.58
182,San Francisco,US,2021-07-29 01:27:27,37.7749,-122.4194,94.8,76,40,3.0
183,Ixtapa,MX,2021-07-29 01:27:17,20.7,-105.2,79.99,85,56,1.1
184,Mahebourg,MU,2021-07-29 01:27:51,-20.4081,57.7,71.89,68,75,18.41
185,Naron,ES,2021-07-29 01:30:12,43.5167,-8.1528,63.03,91,12,5.35
186,Mantenopolis,BR,2021-07-29 01:30:12,-18.8625,-41.1228,65.79,72,8,4.63
187,Bengkulu,ID,2021-07-29 01:30:13,-3.8004,102.2655,81.07,72,67,4.18
188,Skegness,GB,2021-07-29 01:30:13,53.1436,0.3363,55.69,80,13,21.43
189,Getulio Vargas,UY,2021-07-29 01:30:13,-32.6796,-53.5494,39.29,80,7,12.44
190,Fethiye,TR,2021-07-29 01:30:14,36.6217,29.1164,75.07,34,0,7.52
191,Paita,PE,2021-07-29 01:30:14,-5.0892,-81.1144,67.05,86,0,14.38
192,Hamilton,US,2021-07-29 01:29:10,39.1834,-84.5333,83.64,74,1,5.75
193,Riachao Das Neves,BR,2021-07-29 01:30:15,-11.7461,-44.91,70.83,40,0,2.17
194,Vestmannaeyjar,IS,2021-07-29 01:29:35,63.4427,-20.2734,54.45,82,27,5.91
195,Carballo,ES,2021-07-29 01:30:15,43.213,-8.691,63.01,90,21,4.9
196,Olavarria,AR,2021-07-29 01:30:16,-36.8927,-60.3225,35.62,73,0,5.75
197,Oistins,BB,2021-07-29 01:27:00,13.0667,-59.5333,80.69,78,75,19.57
198,Westport,US,2021-07-29 01:30:16,41.1415,-73.3579,74.19,86,1,5.99
199,New Kensington,US,2021-07-29 01:28:09,40.5698,-79.7648,79.93,80,93,1.79
200,Terney,RU,2021-07-29 01:30:16,45.0503,136.6092,80.17,61,3,4.92
201,Naruto,JP,2021-07-29 01:30:17,34.1833,134.6167,88.18,66,20,6.91
202,Nikolskoye,RU,2021-07-29 01:27:12,59.7035,30.7861,66.09,97,100,6.4
203,Isangel,VU,2021-07-29 01:30:17,-19.55,169.2667,80.71,57,75,5.75
204,Brigantine,US,2021-07-29 01:30:17,39.4101,-74.3646,73.49,85,1,4.61
205,Chernyshevskiy,RU,2021-07-29 01:30:18,63.0128,112.4714,75.99,36,10,8.3
206,Harper,LR,2021-07-29 01:30:18,4.375,-7.7169,76.14,83,100,7.94
207,Katsina,NG,2021-07-29 01:30:18,12.9894,7.6006,74.98,73,100,4.38
208,Verkh-Chebula,RU,2021-07-29 01:30:19,56.0308,87.6218,60.31,69,100,2.04
209,Kamenka,RU,2021-07-29 01:30:19,51.3223,42.7678,68.81,49,100,6.31
210,Geraldton,AU,2021-07-29 01:30:19,-28.7667,114.6,65.12,94,75,12.66
211,Avera,US,2021-07-29 01:30:20,33.194,-82.5271,84.7,61,98,4.27
212,Sambava,MG,2021-07-29 01:30:20,-14.2667,50.1667,65.3,77,0,6.29
213,Mongoumba,CF,2021-07-29 01:30:20,3.6415,18.5936,71.49,84,100,2.59
214,Saldanha,ZA,2021-07-29 01:30:21,-33.0117,17.9442,50.05,82,47,12.21
215,Wagar,SD,2021-07-29 01:30:21,16.1525,36.2032,77.86,79,67,18.05
216,Nizwa,OM,2021-07-29 01:30:21,22.9333,57.5333,89.47,40,48,3.91
217,Henties Bay,NA,2021-07-29 01:30:21,-22.116,14.2845,53.85,85,0,7.87
218,Lavrentiya,RU,2021-07-29 01:29:02,65.5833,-171.0,44.56,98,100,9.64
219,Steamboat Springs,US,2021-07-29 01:30:22,40.485,-106.8317,85.71,33,75,6.91
220,Cabatuan,PH,2021-07-29 01:30:22,10.8794,122.486,87.4,66,31,14.0
221,Saint-Philippe,RE,2021-07-29 01:27:09,-21.3585,55.7679,67.59,86,100,20.71
222,Alta,NO,2021-07-29 01:30:23,69.9689,23.2717,49.26,76,90,6.91
223,Simpang,ID,2021-07-29 01:30:23,-1.2667,104.0833,83.01,69,74,6.33
224,Arlit,NE,2021-07-29 01:28:50,18.7369,7.3853,89.78,38,100,7.36
225,Hambantota,LK,2021-07-29 01:30:24,6.1241,81.1185,79.14,89,20,6.91
226,Petropavlovsk-Kamchatskiy,RU,2021-07-29 01:30:24,53.0452,158.6483,72.19,64,20,11.18
227,Porto Novo,BJ,2021-07-29 01:30:24,6.4965,2.6036,74.82,85,81,5.48
228,Ayacucho,PE,2021-07-29 01:30:25,-13.1583,-74.2239,52.21,77,12,4.61
229,Udachnyy,RU,2021-07-29 01:30:25,66.4167,112.4,78.17,47,23,10.54
230,Kirakira,SB,2021-07-29 01:30:25,-10.4544,161.9205,84.33,71,21,7.27
231,Flinders,AU,2021-07-29 01:30:26,-34.5833,150.8552,62.19,44,0,5.01
232,Chake Chake,TZ,2021-07-29 01:30:26,-5.2459,39.7666,73.26,84,14,12.55
233,Am Timan,TD,2021-07-29 01:27:01,11.0297,20.2827,71.58,96,100,4.56
234,Marystown,CA,2021-07-29 01:30:26,47.1666,-55.1483,60.42,96,88,6.44
235,Roma,US,2021-07-29 01:28:14,43.2128,-75.4557,65.43,88,0,4.16
236,Ypsonas,CY,2021-07-29 01:30:27,34.6884,32.9574,86.99,57,0,6.91
237,Leningradskiy,RU,2021-07-29 01:30:27,69.3833,178.4167,33.28,100,100,15.88
238,Tuatapere,NZ,2021-07-29 01:30:28,-46.1333,167.6833,57.81,66,97,6.96
239,Longyearbyen,SJ,2021-07-29 01:30:28,78.2186,15.6401,42.64,93,90,10.36
240,Sinnamary,GF,2021-07-29 01:30:28,5.3833,-52.95,77.41,87,100,8.19
241,San Patricio,US,2021-07-29 01:30:29,28.017,-97.5169,85.89,67,2,10.36
242,Maceio,BR,2021-07-29 01:30:29,-9.6658,-35.7353,69.24,100,0,4.61
243,Katsuura,JP,2021-07-29 01:30:29,35.1333,140.3,87.91,76,22,14.63
244,Sokoni,TZ,2021-07-29 01:30:29,-6.4333,39.55,75.49,77,20,16.75
245,Marbella,ES,2021-07-29 01:30:30,36.5154,-4.8858,76.42,83,0,5.57
246,Tautira,PF,2021-07-29 01:30:30,-17.7333,-149.15,82.42,77,32,5.41
247,Hope,US,2021-07-29 01:30:31,33.6671,-93.5916,91.45,60,70,5.73
248,Talnakh,RU,2021-07-29 01:28:00,69.4865,88.3972,57.18,78,100,4.34
249,Bahia Blanca,AR,2021-07-29 01:30:31,-38.7196,-62.2724,41.52,52,4,8.43
250,Lompoc,US,2021-07-29 01:30:32,34.6391,-120.4579,81.57,82,90,14.97
251,Rochester,US,2021-07-29 01:25:54,43.1548,-77.6156,68.14,76,20,0.0
252,Aktau,KZ,2021-07-29 01:30:32,43.65,51.2,70.38,64,0,11.32
253,Vinh,VN,2021-07-29 01:30:32,18.6667,105.6667,86.43,69,100,7.25
254,Solnechnyy,RU,2021-07-29 01:30:33,50.7214,136.6319,82.81,71,100,3.33
255,Namibe,AO,2021-07-29 01:29:03,-15.1961,12.1522,62.98,87,5,3.15
256,Iqaluit,CA,2021-07-29 01:30:33,63.7506,-68.5145,47.93,71,40,3.44
257,Asau,RO,2021-07-29 01:27:01,46.4333,26.4,66.96,76,17,6.06
258,Honiara,SB,2021-07-29 01:30:33,-9.4333,159.95,84.18,74,37,6.35
259,Labuhan,ID,2021-07-29 01:27:02,-6.8844,112.2051,79.56,72,6,9.46
260,Kaeo,NZ,2021-07-29 01:30:34,-35.1,173.7833,66.33,68,85,7.92
261,Tasiilaq,GL,2021-07-29 01:30:34,65.6145,-37.6368,46.56,67,84,5.99
262,Krasnopavlivka,UA,2021-07-29 01:30:35,49.1372,36.3272,65.37,83,23,7.14
263,Brae,GB,2021-07-29 01:30:35,60.3964,-1.353,57.11,98,100,8.63
264,Zharkent,KZ,2021-07-29 01:30:35,44.1628,80.0,79.66,27,2,8.16
265,Padang,ID,2021-07-29 01:30:36,-0.9492,100.3543,77.05,75,32,1.81
266,Weligama,LK,2021-07-29 01:30:36,5.9667,80.4167,79.99,86,79,11.16
267,Yamada,JP,2021-07-29 01:30:36,39.4667,141.95,80.42,78,74,7.72
268,Samarai,PG,2021-07-29 01:30:37,-10.6167,150.6667,80.17,83,61,7.14
269,Katangli,RU,2021-07-29 01:26:56,51.7102,143.2326,68.43,80,100,5.99
270,Lasa,IT,2021-07-29 01:30:37,46.6166,10.7002,61.02,89,3,2.24
271,Den Helder,NL,2021-07-29 01:30:38,52.9599,4.7593,60.78,83,90,18.41
272,Prainha,BR,2021-07-29 01:30:38,-1.8,-53.48,79.21,67,33,3.09
273,Khasan,RU,2021-07-29 01:30:38,42.4308,130.6434,82.53,68,72,5.73
274,Karratha,AU,2021-07-29 01:30:39,-20.7377,116.8463,72.7,56,30,11.41
275,Saint-Paul,RE,2021-07-29 01:30:39,-21.0096,55.2707,68.11,82,98,3.87
276,La Romana,DO,2021-07-29 01:30:08,18.4273,-68.9728,80.33,89,40,11.5
277,Neiafu,TO,2021-07-29 01:30:40,-18.65,-173.9833,75.88,83,75,9.22
278,Sobradinho,BR,2021-07-29 01:30:40,-12.8333,-39.1,67.41,98,14,2.06
279,Alofi,NU,2021-07-29 01:30:40,-19.0595,-169.9187,76.89,73,40,9.22
280,Broome,US,2021-07-29 01:30:41,42.2506,-75.833,65.39,88,0,1.86
281,Igurubi,TZ,2021-07-29 01:30:41,-4.0,33.7,63.86,52,57,6.55
282,Grindavik,IS,2021-07-29 01:27:21,63.8424,-22.4338,52.27,87,0,14.97
283,Caravelas,BR,2021-07-29 01:30:41,-17.7125,-39.2481,73.53,90,36,10.51
284,Puerto Escondido,MX,2021-07-29 01:30:42,15.85,-97.0667,85.03,61,40,0.0
285,Fort Nelson,CA,2021-07-29 01:30:42,58.8053,-122.7002,76.59,29,20,3.44
286,Tevaitoa,PF,2021-07-29 01:30:42,-16.7833,-151.5,78.66,71,31,7.29
287,Estacion Coahuila,MX,2021-07-29 01:30:43,32.1939,-115.0017,111.96,19,0,9.4
288,Thio,NC,2021-07-29 01:30:43,-21.6167,166.2167,78.76,59,29,5.79
289,Faya,SA,2021-07-29 01:30:43,18.3851,42.4509,66.31,66,92,5.32
290,Kiskunfelegyhaza,HU,2021-07-29 01:30:44,46.7121,19.8446,72.95,58,63,3.0
291,Deltona,US,2021-07-29 01:30:44,28.9005,-81.2637,80.85,92,1,0.0
292,Shenjiamen,CN,2021-07-29 01:30:44,29.9576,122.298,81.25,85,41,17.83
293,Bud,US,2021-07-29 01:30:45,39.447,-86.1758,82.38,84,100,3.98
294,Sitka,US,2021-07-29 01:30:45,57.0531,-135.33,67.89,60,40,11.5
