City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
165,Manicore,BR,-5.8092,-61.3003,85.95,70,0,2.3,clear sky
166,Scarborough,GB,54.2797,-0.4044,68.54,87,100,1.01,light rain
167,Makakilo City,US,21.3469,-158.0858,75.52,69,40,3.44,scattered clouds
168,Ixtapa,MX,20.7,-105.2,74.23,100,75,0.0,broken clouds
169,Ilulissat,GL,69.2167,-51.1,44.62,87,75,16.11,light intensity shower rain
170,Kununurra,AU,-15.7667,128.7333,58.98,67,6,0.0,clear sky
171,Waipawa,NZ,-41.4122,175.5153,40.46,83,100,27.85,moderate rain
172,Mianyang,CN,31.4593,104.7542,75.7,83,100,3.8,light rain
173,Bonavista,CA,48.6499,-53.1147,70.12,82,100,14.38,overcast clouds
174,Cidreira,BR,-30.1811,-50.2056,65.7,72,0,5.99,clear sky
175,Coquimbo,CL,-29.9533,-71.3436,51.53,100,75,4.61,broken clouds
176,Chau Doc,VN,10.7,105.1167,82.56,78,100,10.96,overcast clouds
177,Udalguri,IN,26.7667,92.1333,82.92,85,24,9.06,few clouds
178,Znamenskoye,RU,57.1281,73.8282,69.94,86,100,3.13,light rain
179,Saldanha,ZA,-33.0117,17.9442,60.44,77,100,18.19,overcast clouds
180,Zeya,RU,53.75,127.2667,54.12,77,100,6.64,overcast clouds
181,Bambous Virieux,MU,-20.3428,57.7575,72.21,86,80,18.72,moderate rain
182,Kaeo,NZ,-35.1,173.7833,46.33,92,88,12.5,light rain
183,Bengkulu,ID,-3.8004,102.2655,78.67,86,100,2.53,overcast clouds
184,Jamestown,US,42.097,-79.2353,74.01,90,1,1.01,clear sky
185,Middle Island,US,40.8843,-72.9373,71.62,90,90,0.0,overcast clouds
186,Ekibastuz,KZ,51.6667,75.3667,74.34,48,100,6.13,light rain
187,Thurso,GB,58.5927,-3.5259,62.55,72,8,13.47,clear sky
188,Namibe,AO,-15.1961,12.1522,74.19,72,96,13.47,overcast clouds
189,Miri,MY,4.4148,114.0089,80.74,89,40,3.44,light rain
190,Puerto Escondido,MX,15.85,-97.0667,76.03,78,40,5.75,scattered clouds
191,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,68,40,17.27,scattered clouds
192,Kaitong,CN,44.8135,123.15,75.43,71,5,6.58,clear sky
193,Chingirlau,KZ,51.095,54.0814,88.88,26,100,16.13,overcast clouds
194,Kremenki,RU,54.885,37.1261,77.9,59,100,7.11,light rain
195,Olafsvik,IS,64.8945,-23.7142,57.11,76,100,7.34,overcast clouds
196,Newport,GB,51.5877,-2.9984,67.08,78,84,21.92,broken clouds
197,Cairns,AU,-16.9167,145.7667,69.75,82,90,10.36,overcast clouds
198,Feni,BD,23.0186,91.41,81.32,87,43,11.74,scattered clouds
199,Kananga,CD,-5.8958,22.4178,95.94,19,100,2.35,overcast clouds
200,Luderitz,NA,-26.6481,15.1594,61.29,76,32,10.49,scattered clouds
201,Raudeberg,NO,61.9875,5.1352,71.38,74,100,8.99,overcast clouds
202,Chuy,UY,-33.6971,-53.4616,65.66,77,100,3.4,overcast clouds
203,Novo Aripuana,BR,-5.1206,-60.3797,88.16,41,6,4.18,clear sky
204,Jumla,NP,29.2747,82.1838,64.9,97,98,2.86,overcast clouds
205,Tasiilaq,GL,65.6145,-37.6368,46.56,96,100,17.05,moderate rain
206,Zyryanka,RU,65.75,150.85,53.47,77,3,6.42,clear sky
207,Santiago Del Estero,AR,-27.7951,-64.2615,61.81,35,0,17.02,clear sky
208,Tres Arroyos,AR,-38.3739,-60.2798,47.61,54,100,5.53,overcast clouds
209,Sioux Lookout,CA,50.1001,-91.917,57.58,94,90,6.91,mist
210,Vardo,NO,70.3705,31.1107,59.67,65,1,8.01,clear sky
211,Praia,CV,14.9215,-23.5087,84.74,74,40,10.36,scattered clouds
212,Pringsewu,ID,-5.3582,104.9744,76.96,87,10,1.9,clear sky
213,Champerico,GT,14.3,-91.9167,82.35,89,93,12.12,overcast clouds
214,Naryan-Mar,RU,67.6713,53.087,59.38,52,0,11.12,clear sky
215,Bodden Town,KY,19.2833,-81.25,86.0,78,20,3.0,few clouds
216,Husavik,IS,66.0449,-17.3389,58.91,70,21,5.77,few clouds
217,Hounde,BF,11.5,-3.5167,85.08,59,100,7.4,overcast clouds
218,Batemans Bay,AU,-35.7167,150.1833,44.91,77,100,4.41,overcast clouds
219,Yazoo City,US,32.8551,-90.4056,78.78,76,13,5.48,few clouds
220,Itoman,JP,26.1247,127.6694,82.78,96,75,12.66,mist
221,Georgetown,MY,5.4112,100.3354,84.88,69,40,5.75,scattered clouds
222,Grand Gaube,MU,-20.0064,57.6608,72.37,81,74,5.01,moderate rain
223,Pisco,PE,-13.7,-76.2167,60.85,77,90,4.61,overcast clouds
224,Hit,IQ,33.6416,42.8251,112.37,8,0,2.28,clear sky
225,Malanje,AO,-9.5402,16.341,88.27,11,83,4.59,broken clouds
226,Dunmore East,IE,52.1514,-6.9861,68.32,60,40,8.05,scattered clouds
227,Garmsar,IR,35.2182,52.3409,101.3,12,3,13.27,clear sky
228,Pevek,RU,69.7008,170.3133,37.98,80,91,8.1,overcast clouds
229,Zhumadian,CN,32.9794,114.0294,81.41,75,100,2.77,light rain
230,Kanniyakumari,IN,8.0833,77.5667,80.26,83,57,22.79,light rain
